hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,0.90716666,0.9067634,52.253155,10450.605,0.010101199,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,0.8095,0.80318063,65.2395,13047.867,0.010814237,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,0.90466666,0.9065392,46.05687,9211.35,0.0086622955,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,0.8308333,0.8348715,58.708275,11741.653,0.012045169,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,0.8538333,0.85824656,47.586998,9517.388,0.009582686,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,0.81166667,0.8220303,59.65985,11931.9795,0.011417484,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,0.76066667,0.7343771,73.34779,14669.542,0.018632889,19.64812,0.566536
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,0.81633335,0.82470006,56.122425,11224.472,0.0110871,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,0.7571667,0.7348253,68.63211,13726.411,0.014045318,11.7838,0.351496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,none,0.7585,0.73746866,58.145687,11629.115,0.010737991,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,0.89566666,0.89798945,44.62629,8925.267,0.008420953,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,0.7915,0.79128546,59.1246,11824.936,0.012025213,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,skip_connect,0.886,0.88970333,40.3192,8063.8486,0.009470451,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,0.8225833,0.8244001,52.9707,10594.14,0.012130618,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,none,0.8495,0.84383655,42.07461,8414.933,0.0069274902,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,0.8373333,0.8375412,55.953682,11190.752,0.015282249,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,0.7671666,0.73907053,68.20886,13641.793,0.01272695,11.7838,0.351496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,skip_connect,0.82916665,0.83234674,50.021664,10004.313,0.009919548,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,0.7898333,0.7691562,64.1594,12831.852,0.013555678,3.91948,0.136456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none,0.78925,0.7720171,53.597763,10719.536,0.0136946915,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,avg_pool_3x3,0.88883334,0.8912986,45.664597,9132.922,0.009927774,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,nor_conv_3x3,0.77958333,0.7575346,58.47437,11694.904,0.012351871,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,skip_connect,0.878,0.88125247,41.06689,8213.378,0.007966431,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,nor_conv_1x1,0.8041667,0.79095584,54.84039,10968.093,0.011468617,2.93644,0.108456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,none,0.8386667,0.83042186,45.243538,9048.716,0.009102909,1.9534,0.080456
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,0.7585,0.76234674,63.18431,12636.866,0.011767515,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,0.635,0.5979565,70.91732,14183.443,0.014547245,19.64812,0.566536
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,0.73933333,0.7405999,55.647415,11129.49,0.011165691,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,0.6393333,0.60338825,67.51554,13503.122,0.014903402,11.7838,0.351496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,none,0.6486667,0.6082927,56.393276,11278.656,0.012592578,10.80076,0.323496
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,0.6793333,0.67505276,71.20883,14241.786,0.012867403,19.64812,0.566536
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,0.65575004,0.6332103,81.789375,16357.852,0.015346122,28.49548,0.809576
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,skip_connect,0.68116665,0.6664667,62.56791,12513.609,0.013729755,19.64812,0.566536
