hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,0.89905,0.89448,18.24744,3649.498,0.009211374,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,0.5163,0.47038,22.670305,4534.0713,0.01216593,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,0.8997,0.88586,16.117607,3223.5234,0.008681212,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,0.549,0.51828,20.387564,4077.5022,0.010130551,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,0.5916,0.56262,16.63254,3326.5127,0.009998653,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,0.622,0.60304,20.792118,4158.4346,0.010992395,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,0.4277,0.25056,25.424398,5084.871,0.0142155625,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,0.612,0.59598,19.55469,3910.9377,0.01080113,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,0.4261,0.25564,23.783413,4756.6807,0.0132679455,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,none,0.4292,0.24146,20.248503,4049.7046,0.011473324,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,0.9027,0.88916,15.642729,3128.5496,0.009565265,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,0.5094,0.46998,20.564098,4112.8296,0.012000362,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,skip_connect,0.9001,0.90161,14.137953,2827.5884,0.008650912,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,0.536,0.50208,18.412199,3682.4329,0.012338877,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,none,0.5549,0.52286,14.721363,2944.2742,0.0088875955,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,0.6537,0.63351,19.472641,3894.531,0.011241674,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,0.4293,0.26588,23.614563,4722.9097,0.013802648,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,skip_connect,0.6383,0.61838,17.429604,3485.9258,0.010942751,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,0.4497,0.31438,22.199623,4439.932,0.0135022625,15.65322,0.135156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none,0.4603,0.33236998,18.63325,3726.657,0.011924624,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,avg_pool_3x3,0.7217,0.71198,16.001389,3200.281,0.009343386,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,nor_conv_3x3,0.4429,0.27766,20.320667,4064.1233,0.01277409,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,skip_connect,0.7008,0.6852,14.398178,2879.6382,0.0088302335,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,nor_conv_1x1,0.4852,0.35636,19.04938,3809.8733,0.012598572,11.72106,0.107156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,none,0.538,0.4847,15.816482,3163.2935,0.009734131,7.7889,0.079156
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,0.5766,0.54478,21.979277,4395.8535,0.011411079,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,0.3653,0.15664,24.605265,4921.055,0.013185828,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,0.5447,0.52102,19.412619,3882.5203,0.011796766,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,0.361,0.15826,23.408495,4681.698,0.014520619,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,none,0.3721,0.14856,19.65529,3931.0554,0.013656709,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,0.425,0.35486,24.765202,4953.035,0.014497055,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,0.32239997,0.073599994,28.319712,5663.956,0.017980363,113.95722,0.808276
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,skip_connect,0.4258,0.3468,21.770842,4354.1626,0.014426549,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,0.3247,0.07512,27.620747,5524.149,0.01690602,82.49994,0.593236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,none,0.3271,0.0665,24.343006,4868.5957,0.014821503,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,avg_pool_3x3,0.57885003,0.54910004,18.803772,3760.7456,0.011256482,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,nor_conv_3x3,0.3527,0.0946,23.56137,4712.272,0.01514913,78.56778,0.565236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,skip_connect,0.5547,0.52734,17.259892,3451.9875,0.010676137,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,nor_conv_1x1,0.3471,0.10646,22.189577,4437.9243,0.014234044,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,none,0.3359,0.10772,18.70952,3741.8977,0.012188355,43.17834,0.322196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,0.4402,0.37894,23.27797,4655.5986,0.014225841,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,0.3273,0.07608,26.85565,5371.124,0.015766965,82.49994,0.593236
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,0.4368,0.36996,21.366266,4273.245,0.014558492,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,0.3294,0.09098,25.279469,5055.8916,0.017728528,51.04266,0.378196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,none,0.32725,0.08148,22.442108,4488.423,0.013762249,47.1105,0.350196
avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,none,avg_pool_3x3,0.437,0.37642,19.2581,3851.614,0.011504557,43.17834,0.322196
